movie_title,genres,keywords,director_name,actor_1_name,actor_2_name,actor_3_name
Venom,Science Fiction Action,"san francisco, california spacecraft anti hero alien life-form superhero based on comic spin off aftercreditsstinger duringcreditsstinger business tycoon genetic experiment spiderverse sony's marvel universe",Ruben Fleischer,Tom Hardy,Michelle Williams,Riz Ahmed
A Star Is Born,Drama Romance Music,country music waitress self-destruction talent pop star concert addiction alcoholism remake death of father aspiring singer singer fame tinnitus falling in love insecurity alcoholic death of mother aspiration death of parent showbiz emotional vulnerability hearing impaired brother brother relationship,Bradley Cooper,Bradley Cooper,Lady Gaga,Sam Elliott
The Hate U Give,Crime Drama,based on novel or book based on young adult novel,George Tillman Jr.,Amandla Stenberg,Regina Hall,Russell Hornsby
The Happy Prince,Drama,"paris, france naples, italy biography victorian england period drama 19th century portrait of an artist literary figure social prejudices english writer gay",Rupert Everett,Rupert Everett,Colin Firth,Colin Morgan
First Man,History Drama,moon based on novel or book nasa obsession sacrifice space travel space mission wife biography engineer moon landing based on a true story history space cancer astronaut imax historical event death of daughter compromise test pilot 1960s apollo program neil armstrong,Damien Chazelle,Ryan Gosling,Claire Foy,Jason Clarke
Bad Times at the El Royale,Thriller Drama Mystery,post traumatic stress  disorder hippie casino audio tape motel vietnam war jukebox richard nixon concierge payphone storm vacuum cleaner slot machine ruse motel room neo-noir 1960s lake tahoe j edgar hoover,Drew Goddard,Jeff Bridges,Cynthia Erivo,Dakota Johnson
Goosebumps 2: Haunted Halloween,Adventure Comedy Fantasy Family Horror,halloween sequel based on children's book glasses horror for children ventriloquist's dummy,Ari Sandel,Wendi McLendon-Covey,Madison Iseman,Jeremy Ray Taylor
Beautiful Boy,Drama,"san francisco, california based on novel or book drug addiction biography based on a true story drug rehabilitation methamphetamine based on memoir or autobiography father son relationship",Felix van Groeningen,Steve Carell,Timothée Chalamet,Maura Tierney
The Oath,Comedy,holiday loyalty thanksgiving politics interracial marriage family race government agents black friday,Ike Barinholtz,Ike Barinholtz,Tiffany Haddish,Nora Dunn
Gosnell: The Trial of America's Biggest Serial Killer,Drama Crime,philadelphia based on novel or book based on a true story serial killer abortion,Nick Searcy,Nick Searcy (director); Earl Billings,Dean Cain,Sarah Jane Morris
Halloween,Horror Thriller,mask babysitter halloween police stalking serial killer marijuana masked killer maniac violence killing spree family evil psychotic escaped killer,David Gordon Green,Jamie Lee Curtis,Judy Greer,Andi Matichak
Can You Ever Forgive Me?,Drama Crime Comedy,new york city based on novel or book cat biography based on a true story author alcoholic woman director forgery female author,Marielle Heller,Melissa McCarthy,Richard E. Grant,
Mid90s,Drama,"california skateboarding dysfunctional family coming of age los angeles, california teenager misogyny 1990s skate punk toxic masculinity gay slur",Jonah Hill,Sunny Suljic,Lucas Hedges,Katherine Waterston
Wildlife,Drama,fire montana based on novel or book bus infidelity golf teenage boy 1960s wildfire,Paul Dano,Carey Mulligan,Jake Gyllenhaal,Ed Oxenbould
What They Had,Drama,alzheimer's disease snow blizzard woman director mother daughter relationship,Elizabeth Chomko,Hilary Swank,Michael Shannon,Robert Forster
Hunter Killer,Action Thriller,submarine washington d.c. sniper pentagon u.s. navy special forces russian army naval base russian president post cold war,Donovan Marsh,Gerard Butler,Gary Oldman,Common
Johnny English Strikes Again,Comedy,spy slapstick sequel parody,David Kerr,Rowan Atkinson,Olga Kurylenko,Ben Miller
Suspiria,Horror,germany witch boarding school ballet whodunit young woman gothic apartment cult film evil psychological horror coven ballet school,Luca Guadagnino,Dakota Johnson,Tilda Swinton,Mia Goth
Indivisible,Drama War,army faith god iraq war chaplain christian film,David G. Evans,Sarah Drew,Justin Bruening,Jason George
Bullitt County,Action Drama Thriller,1970s camping kentucky wilderness autumn buried treasure bachelor party,David McCracken,Mike C. Nelson,Jenni Melear,David McCracken
Bohemian Rhapsody,Drama Music,"london, england aids 1970s queen musician biography based on a true story hiv male homosexuality singer fame rock band music band 1980s parsi gay",Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee
The Nutcracker and the Four Realms,Fantasy Adventure Family,magic fairy tale princess betrayal magical object based on short story christmas,"Lasse Hallström, Joe Johnston",Keira Knightley,Mackenzie Foy,Eugenio Derbez
Nobody's Fool,Drama Comedy,small town illegal employment retirement upstate new york,Tyler Perry,Tiffany Haddish,Tika Sumpter,Omari Hardwick
Boy Erased,Drama,homophobia based on a true story coming of age religion based on memoir or autobiography lgbt lgbt teen college student dread conversion therapy,Joel Edgerton,Lucas Hedges,Nicole Kidman,Russell Crowe
A Private War,Drama War,"journalist war correspondent biography middle east conflict syria based on magazine, newspaper or article",Matthew Heineman,Rosamund Pike,Jamie Dornan,Stanley Tucci
Bodied,Drama Comedy Music,rap music hip-hop college thesis cats battle rap,Joseph Kahn,Calum Worthy,Jackie Long,Rory Uphold
The Front Runner,Drama History,colorado senator scandal biography politics politician based on a true story presidential campaign 1980s affair 20th century,Jason Reitman,Hugh Jackman,Vera Farmiga,J. K. Simmons
The Grinch,Animation Family Comedy Fantasy,remake surrealism dr. seuss cgi based on children's book christmas 3d,"Yarrow Cheney, Scott Mosier (directors); Matthew O'Callaghan (co-director); Michael LeSieur, Tommy Swerdlow (screenplay); Benedict Cumberbatch, Rashida Jones, Kenan Thompson, Cameron Seely, Angela Lansbury, Pharrell Williams",Benedict Cumberbatch,Rashida Jones,Kenan Thompson
The Girl in the Spider's Web,Action Crime Thriller,based on novel or book sweden hacker stockholm sequel computer expert millennium saga computer programmer father daughter relationship sister sister relationship gifted child,Fede Alvarez,Claire Foy,Sverrir Gudnason,Lakeith Stanfield
Overlord,Horror War Science Fiction,france world war ii nazi normandy village supernatural d-day laboratory gi joe behind enemy lines paratrooper 1940s scientific experiment black soldier,Julius Avery,Jovan Adepo,Wyatt Russell,Mathilde Ollivier
The Ballad of Buster Scruggs,Comedy Drama Western,prostitute musical anthology parody bank robbery stagecoach cowboy wagon train singing cowboy american west the old west american indian,"Joel and Ethan Coen (directors/screenplay); Tim Blake Nelson, Zoe Kazan, Liam Neeson, Tom Waits",Tim Blake Nelson,Zoe Kazan,Liam Neeson
Lazer Team 2,Science Fiction Action Adventure Comedy,galaxy sequel alien kidnapped file,Daniel Fabelo & Matt Hullum,Gavin Free,Michael Jones,Burnie Burns
The Marine 6: Close Quarters,Action,rescue gang criminal kidnapped,James Nunn,"Chuck Norris (edited); Mike ""The Miz"" Mizanin",Shawn Michaels,Becky Lynch
Conundrum: Secrets Among Friends,Drama Thriller,,Josh Webber,Josh Webber (director); Shaun Cairo (Screenplay),Jo Marie Payton,Gary Leroi Gray
Fantastic Beasts: The Crimes of Grindelwald,Adventure Fantasy Family,"paris, france new york city witch world war ii sequel old flame wizard 1920s harry potter wizarding world",David Yates,Eddie Redmayne,Katherine Waterston,Dan Fogler
Widows,Crime Thriller,"chicago, usa politics politician remake flashback heist betrayal money violence car chase mob boss",Steve McQueen,Viola Davis,Michelle Rodriguez,Elizabeth Debicki
Instant Family,Comedy Drama,adoption social worker based on a true story parenting foster family lgbt substance abuse family dog,Sean Anders,Mark Wahlberg,Rose Byrne,Isabela Moner
Ralph Breaks the Internet,Family Animation Comedy Adventure,video game sequel internet lethal virus aftercreditsstinger duringcreditsstinger,"Rich Moore, Phil Johnston (directors); Phil Johnston, Pamela Ribon (screenplay); John C. Reilly, Sarah Silverman, Gal Gadot, Taraji P. Henson, Jack McBrayer, Jane Lynch, Bill Hader, Alfred Molina, Alan Tudyk, Ed O'Neill",John C. Reilly,Sarah Silverman,Gal Gadot
Creed II,Drama,"ukraine sports sequel los angeles, california boxing kiev, ukraine box ring",Steven Caple Jr.,Michael B. Jordan,Sylvester Stallone,Tessa Thompson
Robin Hood,Adventure Action Thriller,sheriff robin hood archer thief steampunk nottingham sherwood forest middle ages medieval hoodie,Otto Bathurst,Taron Egerton,Jamie Foxx,Ben Mendelsohn
Green Book,Drama Comedy,southern usa friendship racism pianist driver lgbt music tour 1960s roadtrip,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini
Roma,Drama,1970s mexico city middle class family relationships maid autobiographical master servant relationship domestic worker,Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,Fernando Grediaga
The Favourite,Drama History Comedy,great britain queen rivalry rabbit lgbt 18th century duchess aristocracy british monarchy war of the spanish succession drop disease,Yorgos Lanthimos,Olivia Colman,Emma Stone,Rachel Weisz
Shoplifters,Drama Crime,"secret family relationships family drama tokyo, japan poverty orphan shoplifting social realism shoplifter petty crimes asian origins",Hirokazu Kore-eda,Lily Franky,Sakura Ando,Mayu Matsuoka
Mowgli: Legend of the Jungle,Adventure Drama,hunter based on novel or book wolf tiger panther bear coming of age anthropomorphism live action remake,Andy Serkis,Rohan Chand,Christian Bale,Cate Blanchett
The Possession of Hannah Grace,Horror Drama,rehabilitation cop morgue drug rehabilitation hospital corpse violence police officer entity graveyard shift,Diederik van Rooijen,Diederik van Rooijen (director); Brian Sieve (writer); Shay Mitchell,Grey Damon,Kirby Johnson
Anna and the Apocalypse,Horror Comedy Fantasy Music,dancing musical remake apocalypse zombie singing christmas horror zombie apocalypse young adult christmas,John McPhail,Ella Hunt,Malcolm Cumming,Marli Siu
Capernaum,Drama,slum child abuse lebanon refugee neglect beirut lawsuit child bride undocumented immigrant poverty life in the slums slum dwellers,Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole
Mary Queen of Scots,Drama History,scotland based on novel or book cousin royal family biography queen elizabeth i tudors female prisoner mary queen of scots cousin cousin relationship woman director 16th century british monarchy stuarts,Josie Rourke,Saoirse Ronan,Margot Robbie,Jack Lowden
Ben Is Back,Drama,"drug rehabilitation drug addict yonkers, new york christmas mother son relationship stolen dog",Peter Hedges,Lucas Hedges,Julia Roberts,Kathryn Newton
Spider-Man: Into the Spider-Verse,Action Adventure Animation Science Fiction Comedy,superhero based on comic aftercreditsstinger alternate universe,"Bob Persichetti, Peter Ramsey, Rodney Rothman (directors); Phil Lord, Rodney Rothman (screenplay); Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Luna Lauren Velez, Lily Tomlin, Zoë Kravitz, John Mulaney, Kimiko Glenn, Nicolas Cage, Kathryn Hahn, Liev Schreiber, Chris Pine",Shameik Moore,Jake Johnson,Hailee Steinfeld
Mortal Engines,Adventure Fantasy,based on novel or book post-apocalyptic future dystopia revenge steampunk wasteland futuristic vehicle based on young adult novel,Christian Rivers,Hugo Weaving,Hera Hilmar,Robert Sheehan
The Mule,Crime Drama Thriller,"mexico drug crime drug mule based on a true story drug cartel dea agent korean war veteran based on magazine, newspaper or article 2000s sinaloa",Clint Eastwood,Clint Eastwood,Bradley Cooper,Laurence Fishburne
If Beale Street Could Talk,Drama Romance,new york city based on novel or book 1970s romance flashback lawyer harlem devoted family man false imprisonment love story,Barry Jenkins,Kiki Layne,Stephan James,Teyonah Parris
